cascina;link;via;località;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
Cascina Olgettina (Cascina Verde);;;;20132;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.2743332;45.5051947;(45.5051947, 9.2743332)
Cascina San Gregorio Vecchio;;Viale Turchia;Quartiere Feltre;20134;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.25557374954224;45.4950220082841;(45.4950220082841, 9.25557374954224)
Cascina Cavriano Via Cavriana 51;;Via Cavriana;Cavriano;20134;4;24;PARCO FORLANINI - CAVRIANO;9.24100399017334;45.4662408209038;(45.4662408209038, 9.24100399017334)
Cascina S.Ambrogio;;Via Cavriana;Cavriano;20134;4;24;PARCO FORLANINI - CAVRIANO;9.24071431159973;45.4657366806258;(45.4657366806258, 9.24071431159973)
Cascina Vivaio MEcenate;;Via Mecenate;Taliedo;20138;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.25581514835358;45.4468808547698;(45.4468808547698, 9.25581514835358)
Cascina Zerbone;;;Ponte Lambro;20138;4;31;MONLUE' - PONTE LAMBRO;9.26042318344116;45.4439941641861;(45.4439941641861, 9.26042318344116)
Cascina San Martino;;Via Rogoredo;San Martino;20138;4;32;TRIULZO SUPERIORE;9.2509939;45.4261914;(45.4261914, 9.2509939)
Cascina Merezzate;;Via Romualdo Bonfadini;Morsenchio;20138;4;33;ROGOREDO - SANTA GIULIA;9.24269905786705;45.44291615;(45.44291615, 9.24269905786705)
Cascina Bel Casule;;Via Bernardino Verro 106;Vigentino;20141;5;38;VIGENTINO - Q.RE FATIMA;9.1980768;45.4324185;(45.4324185, 9.1980768)
Cascina Quintosole;;Via Quintosole;Quintosole;20141;5;39;QUINTOSOLE;9.2020826;45.4037379;(45.4037379, 9.2020826)
Cascina Amata;;Via Manduria;;20142;5;40;RONCHETTO DELLE RANE;9.179125;45.4014853;(45.4014853, 9.179125)
Cascina Tre Ronchetti;;Via Pescara;Ronchetto delle Rane;20142;5;40;RONCHETTO DELLE RANE;9.18219923973083;45.4009962391097;(45.4009962391097, 9.18219923973083)
Cascina Basmetto;https://www.cascinabasmetto.it/;;;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.16543213926608;45.41171885;(45.41171885, 9.16543213926608)
Cascina Ronchettone;;;Gratosoglio;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.17779505252838;45.4067588066142;(45.4067588066142, 9.17779505252838)
Cascina Campazzo;;Chiesa Rossa;;20141;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.1817227341826;45.426965;(45.426965, 9.1817227341826)
Cascina Ambrosiana;;;Vaiano Valle;20141;5;85;PARCO DELLE ABBAZIE;9.2163312;45.4235661;(45.4235661, 9.2163312)
Cascina Gaggioli;http://www.cascinagaggioli.it/;Via Manduria;;20141;5;85;PARCO DELLE ABBAZIE;9.19590190330608;45.4164957;(45.4164957, 9.19590190330608)
Cascina Grande di Chiaravalle;;;;20139;5;85;PARCO DELLE ABBAZIE;9.2299566;45.4253173;(45.4253173, 9.2299566)
Cascina Macconago;;;Macconago;20141;5;85;PARCO DELLE ABBAZIE;9.2097227;45.4019912;(45.4019912, 9.2097227)
Cascina Podere Ronchetto;;Via Selvanesco;Selvanesco;20141;5;85;PARCO DELLE ABBAZIE;9.19190883636475;45.4189674811398;(45.4189674811398, 9.19190883636475)
Cascina Selvanesco;;Via Selvanesco;Gratosoglio;20142;5;85;PARCO DELLE ABBAZIE;9.1828213;45.410702;(45.410702, 9.1828213)
Cascina Ronchetto;;Via Giorgio Merula;Ronchetto sul Naviglio;20142;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.12901639938354;45.4390710186331;(45.4390710186331, 9.12901639938354)
Cascina Battivacco;;;;20142;6;86;PARCO DEI NAVIGLI;9.14353527216834;45.4295901;(45.4295901, 9.14353527216834)
Cascina San Marchetto;;;;20142;6;86;PARCO DEI NAVIGLI;9.14040956475952;45.42177815;(45.42177815, 9.14040956475952)
Cascina di Mezzo;;Via Buccinasco;;20142;6;86;PARCO DEI NAVIGLI;9.12699401378632;45.429980137136;(45.429980137136, 9.12699401378632)
Cascina San Marcaccio;;;;20142;6;86;PARCO DEI NAVIGLI;9.14299914868515;45.4209574;(45.4209574, 9.14299914868515)
Cascina Molino del Paradiso;;Via Antonio Mosca;Muggiano;20152;7;54;MUGGIANO;9.0689381;45.4500535;(45.4500535, 9.0689381)
Cascina La Corte;;Via Antonio Mosca;Quartiere degli Olmi;20152;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;9.0803062;45.4565338;(45.4565338, 9.0803062)
Cascina Colombera;;;;20153;7;62;QUINTO ROMANO;9.08408403396606;45.4751753948791;(45.4751753948791, 9.08408403396606)
Cascina Cortaccia;;;Figino;20153;7;63;FIGINO;9.0728962;45.4927754;(45.4927754, 9.0728962)
Cascina Guascona;;;Muggiano;20152;7;87;ASSIANO;9.06433760239423;45.4422311;(45.4422311, 9.06433760239423)
Cascina Moiranino;;;Assiano;20153;7;87;ASSIANO;9.06381956677363;45.4548311;(45.4548311, 9.06381956677363)
Cascina Caldera;;;Quinto Romano;20153;7;88;PARCO BOSCO IN CITTA';9.09791149147543;45.47581375;(45.47581375, 9.09791149147543)
Cascina Figinello;;;Figino;20153;7;88;PARCO BOSCO IN CITTA';9.05841631421523;45.49869715;(45.49869715, 9.05841631421523)
Cascina Linterno;https://cascinalinterno.it/;Via Fratelli Zoia;;20152;7;88;PARCO BOSCO IN CITTA';9.10908425252611;45.46409395;(45.46409395, 9.10908425252611)
Cascina Molinetto;;;Figino;20153;7;88;PARCO BOSCO IN CITTA';9.06575918484867;45.49555405;(45.49555405, 9.06575918484867)
Cascina Sora;;Via Sora;Trenno;20153;7;88;PARCO BOSCO IN CITTA';9.100735;45.4814183;(45.4814183, 9.100735)
Cascina Rizzardi;http://www.cascinacampi.it/;Via Fratelli Rizzardi;;20151;8;64;TRENNO;9.1009396;45.4922307;(45.4922307, 9.1009396)
Cascina Molino dei Bissi;;Via Molino dei Bissi;Gallaratese;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.0944463;45.501577;(45.501577, 9.0944463)
Cascina Isola Nuova;;Via Daniele Comboni;Bruzzano;20161;9;84;PARCO NORD;9.1842948;45.5251992;(45.5251992, 9.1842948)
Cascina Cassinetta;;Via della Musica;Grancino;;;;;9.12986;45.4248908;(45.4248908, 9.12986)
Cascina Molinello;;;Cusago;;;;;9.03594219577526;45.4650625;(45.4650625, 9.03594219577526)
